iter	Passed	Remaining
427	1773	2370
428	1777	2365
429	1781	2361
430	1784	2355
431	1787	2350
432	1790	2344
433	1794	2339
434	1797	2334
435	1801	2330
436	1804	2324
437	1807	2319
438	1811	2314
439	1814	2309
440	1817	2303
441	1820	2298
442	1824	2293
443	1827	2288
444	1830	2282
445	1833	2277
446	1836	2272
447	1840	2267
448	1843	2262
449	1847	2257
450	1850	2252
451	1853	2247
452	1856	2242
453	1860	2237
454	1863	2232
455	1867	2227
456	1870	2222
457	1874	2218
458	1878	2213
459	1881	2208
460	1884	2203
461	1888	2199
462	1891	2194
463	1895	2189
464	1898	2184
465	1902	2179
466	1905	2174
467	1909	2170
468	1912	2165
469	1915	2160
470	1919	2155
471	1923	2151
472	1926	2146
473	1930	2142
474	1933	2137
475	1937	2132
476	1940	2127
477	1944	2123
478	1947	2118
479	1951	2113
480	1954	2109
481	1958	2104
482	1961	2099
483	1965	2095
484	1968	2090
485	1972	2085
486	1975	2081
487	1979	2076
488	1982	2071
489	1985	2066
490	1988	2061
491	1992	2057
492	1996	2053
493	2001	2049
494	2005	2045
495	2009	2041
496	2012	2036
497	2015	2032
498	2019	2027
499	2022	2022
500	2025	2017
501	2028	2012
502	2031	2007
503	2035	2002
504	2038	1998
505	2041	1993
506	2045	1988
507	2048	1984
508	2052	1979
509	2055	1975
510	2059	1970
511	2062	1965
512	2066	1961
513	2069	1956
514	2072	1951
515	2075	1947
516	2079	1942
517	2082	1937
518	2085	1933
519	2089	1928
520	2092	1923
521	2095	1918
522	2098	1914
523	2101	1909
524	2105	1904
525	2108	1899
526	2111	1895
527	2115	1890
528	2118	1886
529	2121	1881
530	2125	1876
531	2128	1872
532	2131	1867
533	2135	1863
534	2138	1858
535	2141	1853
536	2144	1849
537	2147	1844
538	2151	1839
539	2154	1835
540	2157	1830
541	2161	1826
542	2165	1822
543	2168	1817
544	2172	1813
545	2175	1809
546	2179	1804
547	2183	1800
548	2186	1796
549	2189	1791
550	2193	1787
551	2197	1783
552	2201	1779
553	2205	1775
554	2208	1770
555	2212	1766
556	2215	1762
557	2219	1757
558	2222	1753
559	2225	1748
560	2229	1744
561	2233	1740
562	2236	1735
563	2239	1731
564	2243	1727
565	2246	1722
566	2250	1718
567	2253	1714
568	2257	1710
569	2261	1705
570	2264	1701
571	2267	1696
572	2271	1692
573	2274	1688
574	2278	1684
575	2282	1679
576	2285	1675
577	2289	1671
578	2293	1667
579	2297	1663
580	2300	1659
581	2304	1655
582	2309	1652
583	2313	1647
584	2316	1643
585	2320	1639
586	2323	1635
587	2327	1630
588	2330	1626
589	2334	1622
590	2338	1618
591	2341	1613
592	2345	1609
593	2348	1605
594	2351	1600
595	2355	1596
596	2358	1592
597	2361	1587
598	2365	1583
599	2368	1579
600	2372	1575
601	2375	1570
602	2379	1566
603	2383	1562
604	2386	1558
605	2390	1554
606	2394	1550
607	2397	1545
608	2400	1541
609	2404	1537
610	2408	1533
611	2411	1528
612	2414	1524
613	2418	1520
614	2422	1516
615	2425	1512
616	2428	1507
617	2432	1503
618	2435	1499
619	2439	1495
620	2442	1490
621	2446	1486
622	2449	1482
623	2452	1477
624	2455	1473
625	2459	1469
626	2462	1464
627	2465	1460
628	2469	1456
629	2472	1452
630	2475	1447
631	2479	1443
632	2482	1439
633	2486	1435
634	2490	1431
635	2493	1427
636	2497	1422
637	2500	1418
638	2504	1414
639	2507	1410
640	2510	1406
641	2514	1401
642	2517	1397
643	2521	1393
644	2524	1389
645	2528	1385
646	2532	1381
647	2537	1378
648	2541	1374
649	2545	1370
650	2549	1366
651	2553	1362
652	2556	1358
653	2560	1354
654	2563	1350
655	2567	1346
656	2570	1342
657	2573	1337
658	2576	1333
659	2580	1329
660	2584	1325
661	2587	1321
662	2590	1316
663	2594	1312
664	2597	1308
665	2600	1304
666	2603	1300
667	2607	1295
668	2610	1291
669	2614	1287
670	2617	1283
671	2620	1279
672	2624	1275
673	2627	1270
674	2631	1266
675	2634	1262
676	2638	1258
677	2641	1254
678	2644	1250
679	2648	1246
680	2651	1242
681	2654	1237
682	2657	1233
683	2661	1229
684	2665	1225
685	2668	1221
686	2671	1217
687	2675	1213
688	2678	1209
689	2682	1205
690	2685	1201
691	2689	1197
692	2693	1193
693	2697	1189
694	2700	1185
695	2704	1181
696	2707	1177
697	2711	1173
698	2714	1169
699	2718	1164
700	2721	1160
701	2724	1156
702	2728	1152
703	2731	1148
704	2734	1144
705	2737	1139
706	2740	1135
707	2743	1131
708	2746	1127
709	2749	1123
710	2752	1118
711	2755	1114
712	2759	1110
713	2762	1106
714	2765	1102
715	2769	1098
716	2772	1094
717	2775	1090
718	2778	1086
719	2782	1081
720	2785	1077
721	2788	1073
722	2792	1069
723	2795	1065
724	2799	1061
725	2802	1057
726	2805	1053
727	2809	1049
728	2812	1045
